ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
682,262,2017,47825140.0,23.885942,45.079162,Saudi Arabia,11.825138,42.590275,Djibouti,01
682,400,2017,14086508.0,23.885942,45.079162,Saudi Arabia,30.585164,36.238414,Jordan,01
686,682,2017,273096.0,14.497401,-14.452362,Senegal,23.885942,45.079162,Saudi Arabia,01
690,702,2017,9058.0,-4.679574,55.491977,Seychelles,1.352083,103.819836,Singapore,01
702,360,2017,2014014.0,1.352083,103.819836,Singapore,-0.789275,113.921327,Indonesia,01
710,364,2017,4550775.0,-30.559482,22.937506,South Africa,32.427908,53.688046,"Iran, Islamic Rep.",01
764,104,2017,60503977.0,15.870032,100.992541,Thailand,21.913965,95.956223,Myanmar,01
768,288,2017,2133.0,8.619543,0.824782,Togo,7.946527,-1.023194,Ghana,01
854,562,2017,33861.0,12.238333,-1.561593,Burkina Faso,17.607789,8.081666,Niger,01
854,442,2017,16659.0,12.238333,-1.561593,Burkina Faso,49.815273,6.129583,Luxembourg,01
